FECHA HECHO,COD_DEPTO,DEPARTAMENTO,COD_MUNI,MUNICIPIO,DESCRIPCION CONDUCTA,CANTIDAD
08/24/2004 12:00:00 AM,73,TOLIMA,73624,ROVIRA,ARTICULO 188. TRAFICO DE MIGRANTES,1
06/09/2005 12:00:00 AM,41,HUILA,41001,NEIVA,ARTICULO 188. TRAFICO DE MIGRANTES,1
05/03/2006 12:00:00 AM,11,BOGOTA D.C.,11001,BOGOTA D.C.,ARTICULO 188. TRAFICO DE MIGRANTES,1
06/29/2006 12:00:00 AM,76,VALLE DEL CAUCA,76001,CALI,ARTICULO 188. TRAFICO DE MIGRANTES,1
01/06/2007 12:00:00 AM,66,RISARALDA,66682,SANTA ROSA DE CABAL,ARTICULO 188. TRAFICO DE MIGRANTES,1
01/16/2007 12:00:00 AM,68,SANTANDER,68001,BUCARAMANGA,ARTICULO 188 A.- TRATA DE PERSONAS,1
02/05/2007 12:00:00 AM,68,SANTANDER,68001,BUCARAMANGA,ARTICULO 188 A.- TRATA DE PERSONAS,1
02/09/2007 12:00:00 AM,18,CAQUETA,18001,FLORENCIA,ARTICULO 188. TRAFICO DE MIGRANTES,1
02/14/2007 12:00:00 AM,17,CALDAS,17001,MANIZALES,ARTICULO 188 A.- TRATA DE PERSONAS,1
02/14/2007 12:00:00 AM,17,CALDAS,17001,MANIZALES,ARTICULO 188 A.- TRATA DE PERSONAS,1
03/05/2007 12:00:00 AM,11,BOGOTA D.C.,11001,BOGOTA D.C.,ARTICULO 188 A.- TRATA DE PERSONAS,1
03/05/2007 12:00:00 AM,18,CAQUETA,18001,FLORENCIA,ARTICULO 188. TRAFICO DE MIGRANTES,1
03/05/2007 12:00:00 AM,76,VALLE DEL CAUCA,76520,PALMIRA,ARTICULO 188. TRAFICO DE MIGRANTES,1
04/11/2007 12:00:00 AM,76,VALLE DEL CAUCA,76892,YUMBO,ARTICULO 188 A.- TRATA DE PERSONAS,1
05/24/2007 12:00:00 AM,11,BOGOTA D.C.,11001,BOGOTA D.C.,ARTICULO 188 A.- TRATA DE PERSONAS,1
05/29/2007 12:00:00 AM,11,BOGOTA D.C.,11001,BOGOTA D.C.,ARTICULO 188 A.- TRATA DE PERSONAS,1
06/08/2007 12:00:00 AM,76,VALLE DEL CAUCA,76001,CALI,ARTICULO 188 A.- TRATA DE PERSONAS,1
